lat,lon,min,max,name
38.99688,-77.25243,2.6,3.3,Bloody Good
38.97771,-77.2359,5.2,5.4,Center Chute Hole
38.97771,-77.23589,5.1,7,Center Chute Wave
38.97809,-77.23646,4.1,4.8,Center Chute (Upper Ledge)
38.97848,-77.23433,6.8,8,Corner Hole
38.99489,-77.24867,6.1,6.6,Dave's Wave
38.97965,-77.23566,7.3,8.8,Dead Cow
38.996983,-77.252523,2.6,2.8,Horseshoe Wave
38.978755,-77.23553,2.7,4,Maryland Chute
38.996391,-77.252891,3.6,3.8,O-Deck 1
38.996226,-77.252862,3.3,3.6,O-Deck 2
38.9961,-77.253001,2.7,3,O-Deck 3
38.975291,-77.221383,4.9,5.4,Offut Island Waves
38.992183,-77.24825,3.9,4.8,Rocky Island Waves
38.979475,-77.232174,6,7.6,Skull Island Waves
38.994412,-77.249742,3.5,3.9,S-Turn
38.977973,-77.237038,2.7,4.2,Virginia Chute
38.9903,-77.247688,2.5,4.3,Wet Bottom
38.93433,-77.119488,3.8,4.3,Sith's Wave